id,label
0,3
1,4
2,3
3,3
4,0
5,2
6,0
7,6
8,4
9,6
10,6
11,3
12,3
13,6
14,4
15,3
16,3
17,6
18,0
19,0
20,0
21,3
22,4
23,4
24,4
25,5
26,3
27,6
28,0
29,5
30,4
31,5
32,6
33,3
34,2
35,0
36,4
37,3
38,0
39,4
40,5
41,5
42,4
43,3
44,4
45,6
46,6
47,6
48,3
49,3
50,6
51,4
52,4
53,4
54,1
55,6
56,5
57,3
58,4
59,5
60,6
61,4
62,4
63,4
64,5
65,0
66,5
67,2
68,0
69,2
70,6
71,0
72,6
73,4
74,5
75,3
76,3
77,4
78,3
79,5
80,3
81,3
82,2
83,3
84,3
85,6
86,5
87,3
88,3
89,5
90,6
91,6
92,2
93,0
94,4
95,6
96,0
97,3
98,5
99,4
100,6
101,3
102,3
103,3
104,4
105,6
106,5
107,3
108,3
109,4
110,3
111,2
112,3
113,2
114,0
115,3
116,4
117,0
118,3
119,5
120,4
121,3
122,4
123,6
124,3
125,0
126,2
127,6
128,2
129,6
130,3
131,3
132,3
133,4
134,0
135,3
136,6
137,6
138,0
139,2
140,2
141,3
142,6
143,2
144,6
145,3
146,3
147,4
148,2
149,4
150,3
151,3
152,2
153,4
154,4
155,4
156,0
157,6
158,6
159,6
160,6
161,4
162,4
163,5
164,6
165,2
166,5
167,2
168,0
169,4
170,4
171,4
172,6
173,3
174,6
175,4
176,6
177,6
178,3
179,2
180,4
181,0
182,4
183,0
184,6
185,4
186,4
187,0
188,4
189,6
190,5
191,6
192,3
193,2
194,2
195,6
196,3
197,4
198,3
199,6
200,4
201,5
202,3
203,4
204,3
205,4
206,4
207,6
208,3
209,6
210,4
211,4
212,6
213,6
214,6
215,6
216,3
217,5
218,4
219,2
220,2
221,4
222,0
223,6
224,0
225,4
226,0
227,2
228,3
229,0
230,2
231,6
232,6
233,3
234,0
235,0
236,3
237,3
238,6
239,3
240,5
241,5
242,4
243,3
244,6
245,0
246,6
247,6
248,3
249,6
250,3
251,0
252,5
253,4
254,6
255,6
256,5
257,6
258,3
259,2
260,5
261,4
262,6
263,6
264,5
265,0
266,6
267,2
268,3
269,5
270,2
271,3
272,3
273,6
274,4
275,6
276,4
277,0
278,5
279,0
280,1
281,5
282,1
283,6
284,5
285,6
286,0
287,6
288,6
289,5
290,3
291,3
292,3
293,2
294,3
295,3
296,4
297,6
298,4
299,6
300,5
301,4
302,4
303,3
304,4
305,3
306,2
307,3
308,0
309,2
310,6
311,3
312,3
313,5
314,0
315,6
316,0
317,6
318,0
319,0
320,6
321,4
322,0
323,4
324,5
325,3
326,6
327,6
328,0
329,4
330,3
331,6
332,6
333,0
334,4
335,3
336,4
337,6
338,0
339,3
340,3
341,0
342,3
343,3
344,3
345,3
346,6
347,3
348,6
349,0
350,0
351,6
352,6
353,4
354,3
355,5
356,6
357,6
358,2
359,3
360,3
361,5
362,5
363,0
364,4
365,5
366,3
367,4
368,1
369,3
370,3
371,4
372,2
373,3
374,4
375,5
376,4
377,4
378,3
379,6
380,4
381,3
382,0
383,2
384,5
385,3
386,3
387,5
388,0
389,0
390,4
391,5
392,4
393,4
394,6
395,6
396,3
397,0
398,6
399,0
400,3
401,4
402,6
403,4
404,4
405,5
406,0
407,3
408,6
409,3
410,4
411,0
412,4
413,6
414,6
415,4
416,5
417,0
418,3
419,3
420,2
421,4
422,0
423,6
424,5
425,4
426,6
427,6
428,6
429,6
430,3
431,3
432,0
433,3
434,4
435,6
436,0
437,1
438,4
439,3
440,4
441,6
442,4
443,0
444,3
445,5
446,6
447,0
448,4
449,6
450,3
451,0
452,5
453,5
454,6
455,6
456,3
457,0
458,3
459,2
460,3
461,0
462,0
463,6
464,3
465,6
466,2
467,2
468,3
469,5
470,4
471,0
472,4
473,0
474,3
475,5
476,0
477,5
478,4
479,6
480,6
481,6
482,4
483,6
484,4
485,0
486,6
487,3
488,6
489,2
490,0
491,4
492,2
493,6
494,2
495,2
496,4
497,5
498,0
499,0
500,4
501,4
502,3
503,4
504,2
505,3
506,5
507,3
508,4
509,4
510,5
511,6
512,6
513,3
514,6
515,4
516,0
517,4
518,2
519,1
520,3
521,6
522,6
523,1
524,0
525,4
526,4
527,4
528,6
529,4
530,5
531,3
532,3
533,0
534,3
535,3
536,0
537,2
538,2
539,2
540,3
541,4
542,6
543,0
544,6
545,0
546,6
547,3
548,1
549,6
550,3
551,3
552,2
553,2
554,3
555,4
556,5
557,5
558,3
559,2
560,5
561,6
562,4
563,3
564,0
565,2
566,0
567,4
568,4
569,4
570,3
571,4
572,5
573,5
574,4
575,5
576,5
577,3
578,5
579,0
580,0
581,3
582,3
583,5
584,6
585,3
586,4
587,6
588,0
589,4
590,0
591,6
592,5
593,6
594,0
595,3
596,0
597,6
598,2
599,6
600,6
601,0
602,6
603,6
604,6
605,6
606,6
607,4
608,0
609,4
610,0
611,6
612,5
613,3
614,6
615,2
616,4
617,3
618,4
619,5
620,4
621,3
622,2
623,2
624,2
625,6
626,6
627,3
628,4
629,5
630,5
631,3
632,4
633,0
634,3
635,2
636,6
637,0
638,4
639,5
640,3
641,3
642,6
643,3
644,2
645,0
646,4
647,3
648,3
649,4
650,4
651,3
652,5
653,5
654,4
655,2
656,0
657,2
658,3
659,6
660,2
661,3
662,3
663,2
664,6
665,6
666,3
667,2
668,3
669,4
670,4
671,4
672,3
673,3
674,3
675,3
676,2
677,0
678,2
679,3
680,2
681,3
682,2
683,3
684,4
685,3
686,3
687,3
688,4
689,4
690,6
691,3
692,4
693,3
694,6
695,5
696,2
697,0
698,0
699,5
700,4
701,5
702,6
703,5
704,3
705,4
706,3
707,0
708,4
709,2
710,2
711,3
712,5
713,5
714,4
715,4
716,0
717,4
718,5
719,4
720,3
721,2
722,5
723,0
724,3
725,5
726,3
727,6
728,3
729,0
730,4
731,2
732,5
733,4
734,0
735,3
736,3
737,4
738,3
739,6
740,2
741,0
742,6
743,0
744,2
745,3
746,5
747,3
748,4
749,3
750,4
751,2
752,0
753,0
754,4
755,6
756,4
757,4
758,3
759,3
760,6
761,6
762,3
763,5
764,6
765,5
766,3
767,5
768,6
769,6
770,3
771,3
772,3
773,0
774,4
775,6
776,6
777,3
778,3
779,4
780,2
781,0
782,2
783,0
784,3
785,4
786,2
787,3
788,3
789,4
790,4
791,3
792,2
793,3
794,3
795,3
796,3
797,2
798,0
799,4
800,0
801,4
802,3
803,6
804,3
805,2
806,4
807,4
808,4
809,2
810,0
811,5
812,5
813,2
814,0
815,4
816,3
817,2
818,2
819,6
820,6
821,3
822,2
823,3
824,3
825,3
826,6
827,6
828,2
829,3
830,3
831,4
832,6
833,4
834,3
835,2
836,4
837,3
838,4
839,6
840,6
841,0
842,2
843,4
844,6
845,3
846,3
847,0
848,5
849,3
850,2
851,2
852,2
853,5
854,2
855,4
856,5
857,5
858,4
859,4
860,3
861,6
862,6
863,0
864,3
865,6
866,6
867,4
868,0
869,6
870,4
871,6
872,6
873,4
874,6
875,5
876,3
877,3
878,6
879,2
880,4
881,4
882,4
883,1
884,3
885,4
886,3
887,6
888,4
889,4
890,2
891,4
892,2
893,3
894,2
895,3
896,3
897,5
898,6
899,6
900,3
901,2
902,4
903,3
904,4
905,6
906,4
907,2
908,3
909,6
910,5
911,6
912,4
913,3
914,2
915,6
916,3
917,3
918,2
919,4
920,3
921,4
922,2
923,4
924,4
925,2
926,3
927,4
928,4
929,4
930,2
931,6
932,0
933,0
934,2
935,3
936,4
937,3
938,3
939,2
940,4
941,3
942,0
943,3
944,4
945,4
946,3
947,3
948,4
949,5
950,2
951,4
952,0
953,4
954,2
955,3
956,4
957,3
958,4
959,1
960,3
961,6
962,6
963,3
964,5
965,6
966,2
967,6
968,3
969,2
970,2
971,4
972,5
