id,label
0,0
1,3
2,0
3,3
4,4
5,2
6,6
7,3
8,6
9,4
10,3
11,3
12,4
13,3
14,4
15,6
16,5
17,4
18,4
19,2
20,5
21,4
22,6
23,3
24,6
25,3
26,0
27,2
28,5
29,3
30,3
31,2
32,3
33,5
34,3
35,4
36,3
37,3
38,4
39,0
40,2
41,6
42,2
43,0
44,0
45,5
46,3
47,2
48,3
49,6
50,4
51,4
52,3
53,3
54,2
55,2
56,2
57,3
58,5
59,5
60,6
61,3
62,6
63,3
64,6
65,5
66,3
67,2
68,5
69,6
70,4
71,3
72,3
73,3
74,0
75,3
76,6
77,0
78,4
79,5
80,4
81,3
82,0
83,5
84,4
85,0
86,2
87,3
88,6
89,4
90,2
91,4
92,4
93,3
94,0
95,4
96,6
97,2
98,2
99,3
100,0
101,6
102,3
103,3
104,4
105,4
106,5
107,6
108,2
109,3
110,4
111,3
112,6
113,4
114,3
115,4
116,3
117,2
118,5
119,5
120,4
121,6
122,4
123,3
124,1
125,6
126,4
127,4
128,6
129,3
130,3
131,3
132,6
133,3
134,5
135,3
136,0
137,0
138,6
139,2
140,3
141,4
142,4
143,5
144,4
145,6
146,3
147,5
148,6
149,5
150,5
151,2
152,3
153,3
154,6
155,6
156,2
157,6
158,4
159,0
160,4
161,4
162,2
163,4
164,3
165,6
166,2
167,5
168,3
169,3
170,4
171,6
172,4
173,5
174,1
175,4
176,4
177,3
178,3
179,6
180,3
181,2
182,4
183,3
184,5
185,0
186,4
187,0
188,0
189,6
190,0
191,3
192,2
193,3
194,2
195,1
196,6
197,6
198,6
199,2
200,3
201,6
202,3
203,4
204,6
205,6
206,3
207,2
208,4
209,4
210,3
211,1
212,4
213,5
214,3
215,5
216,3
217,3
218,5
219,0
220,0
221,0
222,6
223,3
224,3
225,5
226,6
227,0
228,3
229,3
230,6
231,4
232,0
233,2
234,4
235,5
236,3
237,3
238,5
239,5
240,4
241,2
242,4
243,4
244,0
245,0
246,0
247,4
248,2
249,3
250,4
251,3
252,3
253,2
254,3
255,4
256,1
257,3
258,2
259,3
260,2
261,5
262,6
263,0
264,3
265,4
266,5
267,6
268,3
269,4
270,5
271,3
272,6
273,3
274,2
275,3
276,5
277,4
278,3
279,2
280,3
281,3
282,4
283,2
284,3
285,6
286,5
287,4
288,2
289,0
290,0
291,5
292,2
293,6
294,0
295,3
296,6
297,0
298,6
299,6
300,6
301,4
302,6
303,6
304,2
305,5
306,2
307,0
308,0
309,6
310,6
311,6
312,6
313,3
314,6
315,3
316,5
317,6
318,3
319,6
320,0
321,2
322,0
323,2
324,5
325,2
326,4
327,0
328,6
